finding_id,detected_at,severity,category,source_log,summary,detail,status,remediated_at,remediation_action,verified_at,commit_hash
c05837411628,2026-06-07T23:40:38-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:10:02-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:10:02-04:00,b747f7310a240fe973124dd89f2a9b942161699b fix(supp): Context over
5be3a6e50568,2026-06-07T23:40:38-04:00,info,ollama_unreachable,openclaw-gateway,Ollama 127.0.0.1:11434 no alcanzable,Vision local fallo; remoto LiteLLM puede seguir OK,open,,,,
eed2c874fc48,2026-06-07T23:40:38-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-08T20:40:35-04:00,IDENTITY.md 443 -> 400 chars (backup IDENTITY.md.bak-supp-20260608-204035),2026-06-08T20:40:35-04:00,
298177d8efc3,2026-06-07T23:50:02-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:10:02-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:10:02-04:00,74581ce96e49d557e744b005806b463cffb2e107 fix(supp): Context over
4010ea974d1f,2026-06-07T23:55:01-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:10:02-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:10:02-04:00,ebaf9d329772cf106d4ae99dfd3c0a1f4047243f fix(supp): Context over
a4840505cb08,2026-06-08T00:00:01-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:15:01-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:15:01-04:00,c5dbeac3ba7e94e4e5996288d1baef95f5cccf76 fix(supp): Context over
77deda2ce1ef,2026-06-08T04:35:01-04:00,warning,whatsapp_pending,openclaw.sqlite,Cola WhatsApp pending: 1 mensaje(s),inbound.v1.pending en plugin_state_entries,remediated,2026-06-08T05:15:01-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:15:01-04:00,db508b3e4fac799665ed1da38a2ea8bb6dd277ad fix(supp): Cola WhatsAp
16c0e7ed8eea,2026-06-08T04:35:01-04:00,critical,session_stuck,sessions.json,agent:fin:main en estado running,sessionId=fa271f1f-35c2-47bd-b,remediated,2026-06-08T05:15:02-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:15:02-04:00,aa24ce18255d211dac2408150c1c227d1c2cef8c fix(supp): agent:fin:ma
37938fdedcae,2026-06-08T05:30:01-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T05:30:01-04:00,"Cola limpia. Envía UN mensaje de texto por WhatsApp.
",2026-06-08T05:30:01-04:00,9ce4e2d0fdb5ce8e138f4423475cac564c04f506 fix(supp): Context over
c8c26653a445,2026-06-08T05:35:01-04:00,critical,context_overflow,openclaw-gateway,Context overflow en agent:fin:main,Historial/tool results exceden ventana; requiere reset sesion,remediated,2026-06-08T20:35:12-04:00,"pending deleted: 0; failed fin: 0; sessions: agent:fin:main;  Container openclaw-openclaw-gateway-1 Restarting 
 Container openclaw-openclaw-gateway-1 Started 
 | gateway healthy tras espera",2026-06-08T20:35:12-04:00,b7d6679355fcae5fc6c090166693cea6e32c8d70 fix(supp): Context over
e318ca747f6b,2026-06-08T07:15:01-04:00,warning,whatsapp_pending,openclaw.sqlite,Cola WhatsApp pending: 1 mensaje(s),inbound.v1.pending en plugin_state_entries,remediated,2026-06-08T20:35:12-04:00,"pending deleted: 0; failed fin: 0; sessions: agent:fin:main;  Container openclaw-openclaw-gateway-1 Restarting 
 Container openclaw-openclaw-gateway-1 Started 
 | gateway healthy tras espera",2026-06-08T20:35:12-04:00,b7d6679355fcae5fc6c090166693cea6e32c8d70 fix(supp): Context over
8bcadb3c2773,2026-06-08T07:15:01-04:00,critical,session_stuck,sessions.json,agent:fin:main en estado running,sessionId=bdb92727-e313-4a75-b,remediated,2026-06-08T20:35:12-04:00,"pending deleted: 0; failed fin: 0; sessions: agent:fin:main;  Container openclaw-openclaw-gateway-1 Restarting 
 Container openclaw-openclaw-gateway-1 Started 
 | gateway healthy tras espera",2026-06-08T20:35:12-04:00,b7d6679355fcae5fc6c090166693cea6e32c8d70 fix(supp): Context over
9c7d802de4fb,2026-06-08T11:50:01-04:00,warning,whatsapp_pending,openclaw.sqlite,Cola WhatsApp pending: 2 mensaje(s),inbound.v1.pending en plugin_state_entries,remediated,2026-06-08T20:35:12-04:00,"pending deleted: 0; failed fin: 0; sessions: agent:fin:main;  Container openclaw-openclaw-gateway-1 Restarting 
 Container openclaw-openclaw-gateway-1 Started 
 | gateway healthy tras espera",2026-06-08T20:35:12-04:00,b7d6679355fcae5fc6c090166693cea6e32c8d70 fix(supp): Context over
e722bd754955,2026-06-08T20:40:01-04:00,warning,whatsapp_pending,openclaw.sqlite,Cola WhatsApp pending: 2 mensaje(s),inbound.v1.pending en plugin_state_entries,remediated,2026-06-08T20:40:46-04:00,"pending deleted: 0; failed fin: 0; sessions: ninguna;  Container openclaw-openclaw-gateway-1 Restarting 
 Container openclaw-openclaw-gateway-1 Started 
 | gateway healthy tras espera",2026-06-08T20:40:46-04:00,
fc66c4777727,2026-06-09T10:56:19-04:00,critical,gateway_unhealthy,docker,Gateway no healthy,openclaw-openclaw-gateway-1,remediated,2026-06-09T10:58:34-04:00," Container openclaw-openclaw-gateway-1 Restarting 
 Container openclaw-openclaw-gateway-1 Started 
 | gateway healthy tras espera",2026-06-09T10:58:34-04:00,ad284348e52f7d874dc7bb4e36d06e36a446e1e2 fix(supp): Gateway no h
22a51bda3fc2,2026-06-09T12:00:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:00:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:00:01-04:00,611a986f15a02e2589b9c87412e4fce6043f3ba2 fix(supp): SOUL/USER tr
b92ff71fcd06,2026-06-09T12:05:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:05:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:05:01-04:00,39b2d70c31dcaf6d07018b3f879ba51d5fd7ef50 fix(supp): SOUL/USER tr
d13465515791,2026-06-09T12:10:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:10:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:10:01-04:00,2c791fb18f39e236990551b8a994538366bfda5a fix(supp): SOUL/USER tr
ac1ee1b5837b,2026-06-09T12:15:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:15:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:15:01-04:00,88a8b5c86fca0807d3142c2a913825e843a46b16 fix(supp): SOUL/USER tr
e6aaffafa011,2026-06-09T12:20:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:20:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:20:01-04:00,2de3d3a89e62d61a28bc4bf6ad9acfae9bec3d37 fix(supp): SOUL/USER tr
bd4e68d21fd7,2026-06-09T12:25:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:25:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:25:01-04:00,170dc22dd999894c14080966b215fe0cc7aa3211 fix(supp): SOUL/USER tr
d281c96cde1e,2026-06-09T12:30:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:30:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:30:01-04:00,7036dca60c7fb7a5a81781de4bde6c2780ea2a96 fix(supp): SOUL/USER tr
40f8b6932201,2026-06-09T12:35:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:35:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:35:01-04:00,3164ea691f1a544e82932f96abdee8646b7d9b61 fix(supp): SOUL/USER tr
bc3309f35c0a,2026-06-09T12:40:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:40:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:40:01-04:00,2b4edf9cf0979f42f1d47bae4aedb102d9bcd494 fix(supp): SOUL/USER tr
825301fcf132,2026-06-09T12:45:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:45:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:45:01-04:00,86e0153d9abef06886c927615286316163f5d1b6 fix(supp): SOUL/USER tr
d5dfa3503024,2026-06-09T12:50:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:50:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:50:01-04:00,fc3b81c5897b5844f563ac34631ac4da385aa82a fix(supp): SOUL/USER tr
ea7a2143ff20,2026-06-09T12:55:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T12:55:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T12:55:01-04:00,39401d04c22d54fa4e1516ade91530b568eede74 fix(supp): SOUL/USER tr
2181e7b3fafd,2026-06-09T13:00:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:00:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:00:01-04:00,7485be34e79e0b84689edeb4be97edb67fc91336 fix(supp): SOUL/USER tr
81f77f229f7f,2026-06-09T13:05:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:05:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:05:01-04:00,bb054a3d7f82dc41b81460fdf3a98915cd8b1653 fix(supp): SOUL/USER tr
ad9aa27190e2,2026-06-09T13:10:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:10:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:10:01-04:00,e009a0c4a44dbc2f4d64dddf4d8bc4dfbe85c50b fix(supp): SOUL/USER tr
736bd8fc2bc8,2026-06-09T13:15:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:15:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:15:01-04:00,397e11badca61a60cd10d782136a3f64bf776d7c fix(supp): SOUL/USER tr
cff4b3d9c14b,2026-06-09T13:20:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:20:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:20:01-04:00,fc918c7b675bf3703c042d9dd2454b09addbac78 fix(supp): SOUL/USER tr
f3b77d9068e3,2026-06-09T13:25:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:25:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:25:01-04:00,9c2c9638fee53d7e8faea59f98713024849039dc fix(supp): SOUL/USER tr
426c1c4a4a9b,2026-06-09T13:30:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:30:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:30:01-04:00,c9c819e2138e09398b5cc917e7af8e716bd84988 fix(supp): SOUL/USER tr
37aae81482e5,2026-06-09T13:35:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:35:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:35:01-04:00,68d1c17e188fd1d30fd70267da18a0de95b67a44 fix(supp): SOUL/USER tr
b669bf3c334a,2026-06-09T13:40:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:40:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:40:01-04:00,4a5ee39e2fdbdf20cd8361097afb9ba70fa1ea37 fix(supp): SOUL/USER tr
1002262a5264,2026-06-09T13:45:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:45:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:45:01-04:00,93fef5da029ae69af4fbcf54276b190448ab68ca fix(supp): SOUL/USER tr
0fe5ef5db52d,2026-06-09T13:50:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:50:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:50:01-04:00,86b9fb9067c3d6b6277ba133296d552b349fede1 fix(supp): SOUL/USER tr
f3bcea774df1,2026-06-09T13:55:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T13:55:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T13:55:01-04:00,62f0cefa6f505bfbd4d4d5e1e1c717f5930e5a71 fix(supp): SOUL/USER tr
f3855c718681,2026-06-09T14:00:02-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:00:02-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:00:02-04:00,3588c88714f171c28adf43d994b0025c4270ca22 fix(supp): SOUL/USER tr
776f8beb0797,2026-06-09T14:05:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:05:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:05:01-04:00,a758f82e3ff338771e3ee706ab367883df5d656e fix(supp): SOUL/USER tr
64f49a7ff8bc,2026-06-09T14:10:02-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:10:02-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:10:02-04:00,75ad077eb91e2911d866bc8c28dde96322efa1e7 fix(supp): SOUL/USER tr
32c75c422b9a,2026-06-09T14:15:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:15:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:15:01-04:00,9d35cf6e825b055ea82fa9fdc93661b1b5204bfd fix(supp): SOUL/USER tr
43d06dca3223,2026-06-09T14:20:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:20:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:20:01-04:00,06c1b2bab10aa395f51a159ad0d0113892be061c fix(supp): SOUL/USER tr
71d9eab3e05e,2026-06-09T14:25:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:25:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:25:01-04:00,9a90ce5c0437be1389bc60cda1babca12b041be8 fix(supp): SOUL/USER tr
27c48d9c0b07,2026-06-09T14:30:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:30:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:30:01-04:00,a5539340677ff38e8684131094dbd10fa2fb4375 fix(supp): SOUL/USER tr
66cb46e08a37,2026-06-09T14:35:02-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:35:02-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:35:02-04:00,b73279eabaf0e65c9727d5624a1bebd1eae73437 fix(supp): SOUL/USER tr
7158e585d222,2026-06-09T14:40:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:40:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:40:01-04:00,f6a988c19e3c3f94610b5e3b39ed794fcb1d4e8f fix(supp): SOUL/USER tr
e969c9c2703d,2026-06-09T14:45:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:45:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:45:01-04:00,683576d70f582e4c02b86d449fc813466ea394fe fix(supp): SOUL/USER tr
3844cf0e0b81,2026-06-09T14:50:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:50:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:50:01-04:00,10d88a910a9023be9433cbdf38d89bd6b4cdb8e2 fix(supp): SOUL/USER tr
7a230a0a3a0c,2026-06-09T14:55:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T14:55:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T14:55:01-04:00,e8232b24e4309fafca1d2c1b6617e032b62f087c fix(supp): SOUL/USER tr
7f44cdde422d,2026-06-09T15:00:02-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:00:02-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:00:02-04:00,4057ea159f4e502ae4d7e4ea7de052bb2b82199e fix(supp): SOUL/USER tr
ae2de2962bcf,2026-06-09T15:05:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:05:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:05:01-04:00,0f6eb873b49840f0d86b96bb99679956b4508f8c fix(supp): SOUL/USER tr
fc819dcb5374,2026-06-09T15:10:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:10:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:10:01-04:00,3cd629de10830731be07b727ae8f2784fb1c1541 fix(supp): SOUL/USER tr
cd57222924c7,2026-06-09T15:15:02-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:15:02-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:15:02-04:00,84c78a2e709e480d1f91793770186c8f8e21900f fix(supp): SOUL/USER tr
02fa6860130e,2026-06-09T15:20:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:20:02-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:20:02-04:00,1972c6f2f8df7a721e9b07c4af9b91a9c79eacf5 fix(supp): SOUL/USER tr
5fbb6144ee5f,2026-06-09T15:25:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:25:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:25:01-04:00,eeee113a69b0226b35ee0e64077056e7e7f9e387 fix(supp): SOUL/USER tr
d02861ab71d7,2026-06-09T15:30:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:30:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:30:01-04:00,121a2842de4dc6ad61dab1ec963c006b736872d7 fix(supp): SOUL/USER tr
240039575efe,2026-06-09T15:35:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:35:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:35:01-04:00,bc9428476d41e7cb2869e427a39a304b06b6f1d1 fix(supp): SOUL/USER tr
cae1480c05ab,2026-06-09T15:40:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:40:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:40:01-04:00,c240e75eefcf7fb535083231fe3f8952b252a9b2 fix(supp): SOUL/USER tr
73c0d8795662,2026-06-09T15:45:01-04:00,warning,bootstrap_budget,openclaw-gateway,SOUL/USER truncado por budget bootstrap,Reducir SOUL o USER.md para agente fin,remediated,2026-06-09T15:45:01-04:00,IDENTITY.md OK (400 chars),2026-06-09T15:45:01-04:00,b2d80285a9de7db7dc3a602f309d8acd078ccd07 fix(supp): SOUL/USER tr
